principal-invest,institution,title,duration,funding,areas,Financial_year,Round,Year,Institution_code,Item_no,Batch_no
"Dr LOU Weiqun, Vivian",The University of Hong Kong,"Financial Impacts of Family
Caregiving: An Investigation of the Moderating Effects of Workplace Accommodative Measures
and Domestic Helpers",12,559632.0,Livelihood Issues,2016-17,First Round,2015,A8,031,16A
"Dr TSE Ho Lun, Tommy",The University of Hong Kong,"Creative Industries in Flux: A Critical Investigation into the Challenges, Agency and Potential of Cultural and Creative Workers in Hong Kong",18,500000.0,"Livelihood Issues, Economic Development",2016-17,First Round,2015,A8,035,16A
"Dr WANG Jixian, James",The University of Hong Kong,"Hongkong-Shenzhen-Guangzhou as a Multi-gateway Trading 
City-region for Cross-border
E-retailing: A Geographical Analysis",12,605337.0,Economic Development,2016-17,First Round,2015,A8,036,16A
"Dr KWONG Che Leung, Charles",The Open University of Hong Kong***,Feasibility Study of Old Age Pension Scheme in Hong Kong: An Employee's Perspective,9,345028.0,Livelihood Issues,2016-17,First Round,2015,B16,001,16A
"Prof CHAN Chung Shing, 
Johnson",The Chinese University of Hong Kong,Achieving Sustainable Urban Park Management in Hong Kong through the Development of Indicators,12,340786.0,Environmental Protection,2016-17,Second Round,2015,A4,017,16B
Prof Kerry John KENNEDY,The Education University of Hong Kong,Youth Radicalism in Hong Kong: Exploring Changes in Adolescents' Civic Consciousness and Attitudes to the Nation,9,569905.0,"Political Development and Governance, Youth Development",2016-17,Second Round,2015,A5,019,16B
"Dr LIN Ming Chu, Pearl",The Hong Kong Polytechnic University,Exploring the Effects of AIRBNB on the Hong Kong Tourism Industry,12,256818.0,Economic Development,2016-17,Second Round,2015,A6,066,16B
Dr TIAN Xiaoli,The University of Hong Kong,Demarcation or Integration?: Improving Effectiveness of Traditional Chinese Medicine Use in Hong Kong,12,399326.0,"Livelihood Issues, Others",2016-17,Second Round,2015,A8,037,16B
Dr WANG Xiaolu,The University of Hong Kong,Performance of the Self-assessment Practice of Service Performance Monitoring System,12,561547.0,Political Development and Governance,2016-17,Second Round,2015,A8,038,16B
"Prof YIP Siu Fai, Paul",The University of Hong Kong,A Study on Population Dynamics in One Belt One Road: Opportunities and Challenges,12,617298.0,Economic Development,2016-17,Second Round,2015,A8,043,16B
Prof MA Shu Yun,The Chinese University of Hong Kong,"World Values Survey 2017: Generating Data for Trust Maintenance, Repair, and Better Governance in Post-Occupy Hong Kong",12,1025243.0,Political Development and Governance,2016-17,Third Round,2015,A4,020,16C
"Prof CHAN Yue Lai, Helen",The Chinese University of Hong Kong,A Study on the Development of Palliative and End-of-Life Care Services in Hong Kong,12,480801.0,Livelihood Issues,2016-17,Third Round,2016,A4,022,16C
Prof CHOU Kee Lee,The Education University of Hong Kong,Investment Pattern and Performance of Mandatory Provident Fund Scheme Members: A Historical Administrative Record Analysis,12,336390.0,Livelihood Issues,2016-17,Third Round,2016,A5,021,16C
Prof CHOU Kee Lee,The Education University of Hong Kong,Promotion of Volunteerism among Hong Kong Retirees: An Intervention Study,18,712307.0,Livelihood Issues,2016-17,Third Round,2016,A5,023,16C
"Prof HUI Chi Man, Eddie",The Hong Kong Polytechnic University,An Empirical Study of the Town Planning Board's Planning Control Decisions on Residential Development Applicants since Hong Kong's Handover to China,12,369909.0,Land and Housing,2016-17,Third Round,2016,A6,071,16C
Prof Erik BAARK,The Hong Kong University of Science and Technology,Energy Behavior Patterns in Hong Kong: The Role of Bounded Rationality and Peer Pressure in Air Conditioner Use,12,568445.0,Others,2016-17,Third Round,2016,A7,011,16C
"Dr CHAN Lok Shun, Apple",City University of Hong Kong,Developing Appropriate Typical Weather Data for Applications in Building Related Codes of Practices and Design Guidelines in Hong Kong,12,314928.0,Environmental Protection,2016-17,Fourth Round,2016,A1,038,16D
Dr Damien CHARRIERAS,City University of Hong Kong,The Development of a New Media Expertise in the Creative Economy of Hong Kong,12,550620.0,Economic Development,2016-17,Fourth Round,2016,A1,045,16D
Prof ZHANG Baohui,Lingnan University,One Belt One Road: China's Motives and Hong Kong's Roles,12,468050.0,"Economic Development, Others",2016-17,Fourth Round,2016,A3,007,16D
"Dr POON Pui Han, Winnie",Lingnan University,Deriving Public Policy for Hong Kong as an Infrastructure Financing Hub and Super-connector in Project Finance: The Belt and Road Initiative,18,691783.0,Economic Development,2016-17,Fourth Round,2016,A3,008,16D
Prof Raees Begum BAIG,The Chinese University of Hong Kong,Knowledge and Perceptions towards Gender-Based Violence of Minority Girls in Hong Kong,6,200000.0,Livelihood Issues,2016-17,Fourth Round,2016,A4,029,16D
Dr CHUNG Ka Fai,The University of Hong Kong,The Experience of Stigma in Patients with Mental Disorders: Are There Improvements in the Past 15 Years?,12,346293.0,Livelihood Issues,2016-17,Fourth Round,2016,A8,049,16D
"Dr WONG Yee Hang, Mathew",The University of Hong Kong,A Survey Experiment on Discontent Among the Youth: Welfare or Politics?,12,220368.0,"Political Development and Governance, Youth Development",2016-17,Fourth Round,2016,A8,051,16D
"Dr KU Yee Lai, Kelly",Hong Kong Baptist University,Investigating Hong Kong Students' Critical News Literacy in the Age of Social Media,12,492982.0,Application of Innovation and Technology,2017-18,First Round,2016,A2,014,17A
Prof LI Si Ming,Hong Kong Baptist University,"Differential In-migration, Housing Access and Spatial Segregation: Hong Kong since 1997",18,825125.0,"Land and Housing, Livelihood Issues",2017-18,First Round,2016,A2,016,17A
Prof CUI Geng,Lingnan University,Construction of Mainland China - Hong Kong Economic Integration Index and Its Application to Facilitate Public Policy Research in Hong Kong,12,494960.0,Economic Development,2017-18,First Round,2016,A3,009,17A
"Dr YUEN Chi Lok, Andrew",The Chinese University of Hong Kong,Maintaining Hong Kong Aviation-hub Position Under the ASEAN - China Air Transport Agreement (ATA),18,481491.0,Economic Development,2017-18,First Round,2016,A4,032,17A
"Dr TO Wai Chun, Clara",The Education University of Hong Kong,Life Course Effects on Marital Stability: Experience of Remarried Mainland Chinese Migrant Women in Hong Kong,12,500000.0,Livelihood Issues,2017-18,First Round,2016,A5,025,17A
Prof LI Heng,The Hong Kong Polytechnic University,Facilitating the Diffusion of Building Information Modeling (BIM) in the Hong Kong Construction Industry: A Network Perspective,18,716335.0,Economic Development,2017-18,First Round,2016,A6,075,17A
"Dr LIU Kang Huey, Helen",The University of Hong Kong,"Exploring the Motivations, Incentive Designs, and Performance of Open Innovation in Hong Kong",12,297032.0,Application of Innovation and Technology,2017-18,First Round,2016,A8,052,17A
Dr FU King Wa,The University of Hong Kong,"Associations between Emerging Political Ideology, Political Participation and Social Media Use: Making Sense of the Connections between ""Localism"", ""Populism"", and Post-materialism in Hong Kong",12,780234.0,Political Development and Governance,2017-18,First Round,2016,A8,055,17A
Dr LI Hang,Hong Kong Shue Yan University,From Ketamine to Ice: Neutralisation Techniques and Risk Perception of Adolescent Drug Abusers,12,422464.0,Youth Development,2017-18,First Round,2016,B13,002,17A
"Dr CHAN Lok Shun, Apple",City University of Hong Kong,Enhancing the Environmental Effectiveness of Overall Thermal Transfer Value (OTTV) Regulation for Green Building Design in Hong Kong,18,304750.0,Environmental Protection,2017-18,Second Round,2016,A1,051,17B
