principal-invest,institution,title,duration,funding,areas,Financial_year,Round,Year,Institution_code,Item_no,Batch_no
Dr Tom MCDONALD,The University of Hong Kong,Facilitating Everyday Cross-border Monetary Transactions and the Potential of Digitization in the Greater Bay Area ,18,699962.0,Economic Development,2019-20,Fourth Round,2019,A8,089,19D
"Dr CHIA Chih Yun, Stella",City University of Hong Kong,Tracking the Influence of Misinformation on Perceptions about Flu Vaccine among the Elderly Population in Hong Kong,12,531300.0,Livelihood Issues,2020-21,First Round,2020,A1,093,20A
Dr CHANG Zheng,City University of Hong Kong,Estimating the Social Benefits of Landfill Restoration and Redevelopment in Hong Kong: Evidence from Housing Market,12,308172.0,"Land and Housing,  Environmental Protection",2020-21,First Round,2020,A1,094,20A
"Dr CHEUNG Chau Kiu, Jacky",City University of Hong Kong,Influencers' Facilitation of Prosocial Development among University Students,12,347530.0,Youth Development,2020-21,First Round,2020,A1,095,20A
Dr SUN Yongjun,City University of Hong Kong,"Incorporate Key Components Performance Degradation into the Code of Practice for Improved Life-cycle Energy Efficiency of Heating, Ventilation and Air-conditioning Systems",12,502320.0,Environmental Protection,2020-21,First Round,2020,A1,097,20A
Prof WONG Yu Ka,The Chinese University of Hong Kong,The Development of Chinese Literacy Proficiency and its Relationship with Learning Motivation in Ethnic-minority Primary School Students,12,473812.0,Livelihood Issues,2020-21,First Round,2020,A4,065,20A
Prof WOO Chi Keung,The Education University of Hong Kong,Performance-based Regulation of Mass Transit Railway's Reliability Performance,12,586040.0,Others,2020-21,First Round,2020,A5,071,20A
"Dr YUNG Hiu Kwan, Esther",The Hong Kong Polytechnic University,Effects of Indoor Environmental Quality on the Satisfaction Level of Elderly in Residential Care Homes,12,389942.0,Livelihood Issues,2020-21,First Round,2020,A6,146,20A
Dr WANG Shuaian,The Hong Kong Polytechnic University,Data-driven Port State Control (PSC) Policies: Improving Maritime Safety and Promoting Green Shipping,12,223100.0,Others,2020-21,First Round,2020,A6,148,20A
Dr Basak DENIZCI GUILLET,The Hong Kong Polytechnic University,Chinese Travelers’ Perceptions towards Demand Based Pricing  Strategies of the High Speed Rail: A Conjoint Analysis Approach,24,518650.0,Economic Development,2020-21,First Round,2020,A6,150,20A
"Prof CHENG Wing Keung, Stephen",The University of Hong Kong,Assessment of the e-Cigarette Impact on Vascular Health ,24,641406.0,Livelihood Issues,2020-21,First Round,2020,A8,091,20A
"Dr YEUNG Yuen Lan, Dannii",City University of Hong Kong,Development of A Longitudinal Database on Adult Development and Aging,24,1146550.0,Livelihood Issues,2020-21,Second Round,2020,A1,101,20B
Dr TO Siu Ming,The Chinese University of Hong Kong,"The Influence of Intrapersonal, Interpersonal and Community Protective Factors on Hong Kong Adolescents’ Stress during Political Life Events and Their Mental Health",15,344655.0,Youth Development,2020-21,Second Round,2020,A4,067,20B
Prof YEOH Eng Kiong,The Chinese University of Hong Kong,A Feasibility Study on A Healthcare Voucher Scheme for Screening and Management of Cardiovascular Risk Factors Associated Chronic Diseases in the General Population: A Mixed Methods Evaluation,12,987850.0,Livelihood Issues,2020-21,Second Round,2020,A4,068,20B
"Prof FUNG Chi Hung, Jimmy",The Hong Kong University of Science and Technology,Post-processing Technique for Enhancing the Analysis Accuracy of Simulation Results from Air Ventilation Assessments,12,820373.2,Environmental Protection ,2020-21,Second Round,2020,A7,014,20B
Ms Amanda Sarah WHITFORT,The University of Hong Kong,An Empirical Study of the Nature of Animal Abuse Cases in Hong Kong from 2013-2019,12,462019.4,Political Development and Governance,2020-21,Second Round,2020,A8,092,20B
Dr Patrick IP,The University of Hong Kong,Investigating the Long-Term Effects of Rapid Repeat Pregnancy and Early Child Maltreatment among Young Mothers and Their Children in Hong Kong,12,547049.0,Livelihood Issues,2020-21,Second Round,2020,A8,093,20B
"Prof CHU Yiu Wai, Stephen",The University of Hong Kong, A Study of Hong Kong Popular Music Education,18,597137.5,Youth Development,2020-21,Second Round,2020,A8,094,20B
Dr ZHANG Xinzhi,Hong Kong Baptist University,Hong Kong Media’s Coverage of Political Polarization and its Effects on People’s Political Attitudes and Behaviors,8,356972.0,Political Development and Governance,2020-21,Third Round,2020,A2,043,20C
Prof LIN Ping,Lingnan University,Can Hong Kong's Current Competition Policy Meet the Challenge of Increasing Economic Integration with the Greater Bay Area?,24,974510.0,Economic Development,2020-21,Third Round,2020,A3,024,20C
Dr WANG Yonglin,Lingnan University,Cooling Measures in Hong Kong and its Residential Property Market,12,485070.0,Land and Housing Supply,2020-21,Third Round,2020,A3,025,20C
"Dr LEE Tsz Lok, Trevor",The Education University of Hong Kong,Home-School Collaboration as Online Learning Support System: A Case Study of Primary Schools amid Class Suspension in Hong Kong,12,670450.0,Technology and Education,2020-21,Third Round,2020,A5,076,20C
Dr YANG Dong,The Hong Kong Polytechnic University,Policy Recommendations on Port Collaboration and Maritime Industry Sustainable Development of Hong Kong under the Great Bay Area Initiative,12,581785.0,Economic Development,2020-21,Third Round,2020,A6,154,20C
Dr ZHU Ling,The Hong Kong Polytechnic University,"Reducing Greenhouse Gas Emissions from Shipping: Regulatory Challenges, Opportunities and Recommendations for Hong Kong",15,432975.0,Environmental Protection,2020-21,Third Round,2020,A6,157,20C
Dr YEUNG Chok Hang,The University of Hong Kong,"Evaluation of Wastewater Reuse in Hong Kong Using an Integrated Framework for Life-cycle Economic, Environmental and Public Health Impact Assessment",18,998315.0,Environmental Protection,2020-21,Third Round,2020,A8,095,20C
Dr Terry Antonius VAN GEVELT,The University of Hong Kong,Shoves or Nudges?  Promoting Behavioural Change to Tackle Climate Change in Hong Kong,12,316250.0,Others,2020-21,Third Round,2020,A8,096,20C
Dr CHOW Pok Yin Stephenson,City University of Hong Kong,"Accommodating the Needs of Persons with Disabilities in Policies concerning Public Health Emergencies: Law, Ethics and Practice",12,500000.0,Political Development and Governance,2020-21,Fourth Round,2020,A1,111,20D
Dr LI Jing,The Chinese University of Hong Kong,Evaluating The Impact Of New Town Development: A Piketty’s Framework,12,392150.0,Land and Housing Supply,2020-21,Fourth Round,2020,A4,071,20D
Dr NG Shek Nam Marques,The Chinese University of Hong Kong,Identifying Social Capital for Family Caregiving in Chronic Organ Failure: A Concept Mapping Study,18,642709.0,Livelihood Issues,2020-21,Fourth Round,2020,A4,072,20D
Dr LAM Tai Pong,The University of Hong Kong,Enhancing Early Recognition and Management of Dementia for the Aging Population of Hong Kong - Roles of Primary Care Providers,9,345000.0,Livelihood Issues,2020-21,Fourth Round,2020,A8,099,20D
Dr SHUM Chun Tat,The Open University of Hong Kong***,Towards a Multicultural Active Ageing Policy: A Qualitative Study of Quality of Life Among South Asian Older Adults in Hong Kong,12,357159.0,Livelihood Issues,2020-21,Fourth Round,2020,B16,003,20D
Dr HO Wing Chung,City University of Hong Kong,A Longitudinal Study of Intergenerational Transmission of Poverty in Hong Kong across the 2010s: Policy Implications in Poverty/Inequality and Youth Development,12,269596.0,"Livelihood Issues, Youth Development",2021-22,First Round,2021,A1,112,21A
Dr SHEN Fei,City University of Hong Kong,Using Deliberation to Reduce Polarization and Build Consensus: An Experimental Study,18,432687.0,Political Development and Governance,2021-22,First Round,2021,A1,113,21A
"Dr ZHENG Wan Tai, Victor",The Chinese University of Hong Kong,The Innovative Combination of Hong Kong's Brand Strength and the Mainland's Advanced Manufacturing Technology in Developing the Greater Bay Area as a Centre of High-quality Proprietary Chinese Medicine,12,565892.0,Economic Development,2021-22,First Round,2021,A4,073,21A
"Dr LEE Ka Man, Carmen",The Chinese University of Hong Kong,Doxxing in Hong Kong: A Discourse-Analytic Perspective,12,350000.0,Youth Development,2021-22,First Round,2021,A4,075,21A
Dr CHAU Chi Kwan,The Hong Kong Polytechnic University,Costs and Benefits of Undertaking BEAM (Building Environment Assessment Method) Plus New Building Assessments in Hong Kong,18,565169.0,Environmental Protection,2021-22,First Round,2021,A6,169,21A
Prof TAO Zhigang,The University of Hong Kong,Economic Determinants and Implications of the 2019 Hong Kong District Council Election,18,583625.0,"Livelihood Issues, Political Development and Governance",2021-22,First Round,2021,A8,105,21A
Dr LAM Wai Man,The Open University of Hong Kong***,Political Participation in Late Adulthood: A Latent Transition Analysis,24,870104.0,Livelihood Issues,2021-22,First Round,2021,B16,005,21A
"Ir Dr HO Chung Tai, Raymond",Dashun Foundation,Construction Policy: Utilizing Blockchain Technology for Construction Activity Tracking,9,776020.0,Economic Development,2021-22,First Round,2021,C1,004,21A
Dr LI Xin,City University of Hong Kong,Assessing Brownfield Redevelopment Potentials in Hong Kong: A Geographic Information System (GIS) Analysis of Brownfield Sites,12,370455.2,Land and Housing Supply,2021-22,Second Round,2021,A1,115,21B
"Dr SONG Yunya, Celine ",Hong Kong Baptist University,Building Resilience to Information Disorder in Hong Kong: An Investigation of Rumor Exposure and Dissemination in Times of Public Crisis,12,500000.0,Political Development and Governance,2021-22,Second Round,2021,A2,047,21B
"Prof CHAN Chung Shing, Johnson",The Chinese University of Hong Kong,Developing a Sustainable City Brand for Hong Kong based on Local Brand Equity of Green-Creative-Smart City,15,722027.5,Economic Development,2021-22,Second Round,2021,A4,078,21B
Prof LI Heng,The Hong Kong Polytechnic University,Evaluation of Impact of Policy Interventions on the Building Information Modelling (BIM) Adoption Status in the Hong Kong Construction Industry: From a Comparative Perspective,18,409400.0,Economic Development,2021-22,Second Round,2021,A6,173,21B
Dr LIU Xintao,The Hong Kong Polytechnic University,Evaluation of ‘Over-tourism’ Phenomenon in Hong Kong Using Machine Learning and Social Media Data,12,223100.0,Others,2021-22,Second Round,2021,A6,174,21B
"Prof HSU Hui Chun, Cathy",The Hong Kong Polytechnic University,A Decision Support System for Post-COVID Tourism Policy Formation and Monitoring,18,600000.0,Economic Development,2021-22,Second Round,2021,A6,177,21B
Dr IP Ka Wai,Hong Kong Baptist University,Data Literacy of Hong Kong Internet Users,12,610914.5,Others,2021-22,Third Round,2021,A2,049,21C
Dr WAN Zhihong,The Education University of Hong Kong,"Working in the Guangdong-Hong Kong-Macao Greater Bay Area: Hong Kong Science, Technology, Engineering and Mathematics (STEM) Undergraduates' Intention and Concerns ",12,500000.0,"Economic Development, Youth Development",2021-22,Third Round,2021,A5,092,21C
Dr LEE Siu Yau,The Education University of Hong Kong,Public Support for Social Inclusion Policies ,15,523250.0,Livelihood Issues,2021-22,Third Round,2021,A5,096,21C
"Dr YANG Yang, Jackie",The Hong Kong Polytechnic University,"Regulatory Framework and Guidelines for Drone Applications in the Hong Kong Architecture, Engineering and Construction Industry",12,460000.0,Others,2021-22,Third Round,2021,A6,181,21C
Prof ZHU Pengyu,The Hong Kong University of Science and Technology,"The Persistence of Behavioral Changes in Post-Pandemic Hong Kong: Implications for Transportation, Housing and Economic Development Policies",18,658087.5,Others,2021-22,Third Round,2021,A7,021,21C
"Prof CHOW Wing Sun, Nelson",The University of Hong Kong,Attractions and Hurdles of Retiring in the Greater Bay Area in the Post-pandemic Period: Investigating How the Choice of Cross Border Retirement will be Affected by the Portability of Public Benefits and Social Support Network,10,460000.0,"Economic Development, Livelihood Issues",2021-22,Third Round,2021,A8,110,21C
Prof YIP Ngai Ming,City University of Hong Kong,Socio-Economic Segregation in Hong Kong - Social Exclusion and the Provision of Public Services in Spatially Segregated Areas,12,157205.0,Livelihood Issues,2021-22,Fourth Round,2021,A1,119,21D
"Dr CHAN Lok Shun, Apple",City University of Hong Kong,Investigating the Appropriateness of Adopting a Single Limit in Overall Thermal Transfer Value Regulation for Buildings in Hong Kong,12,439070.0,Environmental Protection,2021-22,Fourth Round,2021,A1,120,21D
Dr LI Wanxin,City University of Hong Kong,Capacity Building for Sustainable Water Governance in Hong Kong by Socio-technological Innovation,18,637748.6,"Environmental Protection, Political Development and Governance",2021-22,Fourth Round,2021,A1,121,21D
Dr WANG Hui,The Education University of Hong Kong,"Determinants of Hong Kong Secondary Students' Senses of Belonging to School, City, Country and the World",12,425543.7,Education and Youth Development,2021-22,Fourth Round,2021,A5,100,21D
Dr ZHAN Ying,The Education University of Hong Kong,"Investigating Primary School Teachers' E-assessment Practices, Intentions and Influencing Factors in the New Normal: Implications for Developing E-assessment Policy",12,662170.0,Innovation and Technology,2021-22,Fourth Round,2021,A5,101,21D
Dr YAO Wei,The Hong Kong Polytechnic University,Identifying and Prioritizing Development Zones for Green Roofs in Hong Kong: A Geospatial Smart City Way towards Carbon Neutrality,12,599150.0,Others,2021-22,Fourth Round,2021,A6,184,21D
Dr WEI Hsi Hsien,The Hong Kong Polytechnic University,Towards People-centric Smart City Development: Investigating the Citizens' Preferences and Perceptions about Smart-city Services in Hong Kong,12,469401.25,Others,2021-22,Fourth Round,2021,A6,185,21D
Prof LI Heng,The Hong Kong Polytechnic University,Study on the Critical Influencing Factors and Policy Effectiveness Improvement of the Collaborative Governance of the Construction and Demolition Waste Recycling Chain in Hong Kong,12,310270.0,Environmental Protection,2021-22,Fourth Round,2021,A6,189,21D
"Dr WANG Jixian, James",Bay Area Hong Kong Centre,Enhancing Hong Kong’s Role as Regional Aviation Hub through Developing a Supply Chain Service Center for Cross-border E-commerce,12,608450.0,Co-operation with the Mainland,2021-22,Fourth Round,2021,C24,001,21D
Dr ZHU Xiaolin,The Hong Kong Polytechnic University,Developing Low-Cost Remote Sensing System for Detecting Illegal Dumping of Construction Waste in Hong Kong,12,281060.0,Environmental Protection,2022-23,First Round,2022,A6,191,22A
"Dr LEE Suet Mui, Daisy",School of Professional Education and Executive Development The Hong Kong Polytechnic University,Constructing A System of Interest for A Social Marketing Intervention to Nudge Plate Waste Reduction in Restaurants,12,545790.0,Environmental Protection,2022-23,First Round,2022,B24,001,22A
"Dr WAN Shui Ki, Monique",Hong Kong Baptist University,"Constructing Daily Hong Kong Online Consumer Price Index and Price Dynamics: The Role of E-commerce in the Post-pandemic Era
",12,560050.0,Economic Development,2022-23,Second Round,2022,A2,053,22B
"Prof AU Yuk Fai, Kevin",The Chinese University of Hong Kong,Promoting Active Ageing and Social Participation with Time Voucher/Bank,12,586045.0,Livelihood Issues,2022-23,Second Round,2022,A4,090,22B
Dr LI Sen,The Hong Kong University of Science and Technology,"Regulating Tourist Coach Parking in Hong Kong: Curbside Management and Carpark Provision
",24,986718.0,Livelihood Issues,2022-23,Second Round,2022,A7,024,22B
Dr Marcelo THOMPSON,The University of Hong Kong,"Standards-Setting, National Security, and the Responsibility of Technological Platforms in Hong Kong: Understanding Article 139 of the Hong Kong Basic Law
",9,284573.25,Political Development and Governance,2022-23,Second Round,2022,A8,121,22B
"Dr WONG Shun Mun, Helen",School of Professional Education and Executive Development The Hong Kong Polytechnic University,Motivating Small and Medium Enterprises (SMEs) to Adopt Blockchain for Building a Smart Hong Kong: An Investigation of Blockchain Adoption Drivers and Implementation Support,12,432579.4,Innovation and Technology,2022-23,Second Round,2022,B24,002,22B
Prof CHOU Kee Lee,The Education University of Hong Kong,Poverty Dynamics in Hong Kong: Synthetic Panel Approach,12,400775.0,Livelihood Issues,2022-23,Third Round,2022,A5,113,22C
Dr FAN Ying,The Hong Kong Polytechnic University,"Tackling Ageing Buildings and Facilitating Urban Transformation:
Optimization of Floor Area Ratio Regulation in Hong Kong’s Urban Renewal Process
",12,598000.0,Land and Housing,2022-23,Third Round,2022,A6,200,22C
Dr WANG Shuo,The Hong Kong Polytechnic University,Incorporating Spatial Heterogeneity of Rainfall Response to Climate Change into the Design of Slope Drainage Provisions in Hong Kong,12,470350.0,Others,2022-23,Third Round,2022,A6,202,22C
Dr Amos DARKO,The Hong Kong Polytechnic University,Energy Efficiency Retrofitting of Existing Buildings for Carbon Neutrality in Hong Kong: Policy Recommendations and Guidelines for Overcoming the Challenges,12,359542.9,Environmental Protection,2022-23,Third Round,2022,A6,207,22C
"Dr LEUNG Shuk Ching, Jessica",The University of Hong Kong,Establishing a Performance Expectation Framework for STEM Education Among Primary and Secondary School Students in Hong Kong,12,546136.56,Education and Youth Development,2022-23,Third Round,2022,A8,125,22C
"Dr ZHONG Runyang, Ray",The University of Hong Kong,"Prefabrication Hub Feasibility for Hong Kong Construction Industry: An Integrated Approach
",12,281691.35,"Economic Development, Innovation and Technology",2022-23,Third Round,2022,A8,129,22C
"Prof WONG Lai Yi, Eliza",The Chinese University of Hong Kong,Study on the Factors for Effective and Sustainable Clinical Waste Management Policy in Hong Kong,12,708122.79,Environmental Protection,2022-23,Fourth Round,2022,A4,097,22D
Dr CHAU Chi Kwan,The Hong Kong Polytechnic University,Mission Zero: Cost Effective Pathway towards Carbon Neutral Buildings,12,449535.0,Environmental Protection,2022-23,Fourth Round,2022,A6,211,22D
Dr SEO Bo Kyong,The Hong Kong Polytechnic University,Housing and Early Childhood Growth and Development in Hong Kong's Low-income Families,15,583160.4,Livelihood Issues,2022-23,Fourth Round,2022,A6,213,22D
Dr Crystal KWAN,The Hong Kong Polytechnic University,Enhancing the Social Participation of Older People with Lived Experiences of Homelessness: A Community Based Participatory Research,15,460000.0,Livelihood Issues,2022-23,Fourth Round,2022,A6,214,22D
Prof LI Heng,The Hong Kong Polytechnic University,Using Carbon Regulation to Promote the Adoption of Modular Integrated Construction in Hong Kong: An Evolutionary Game-based Study,18,772225.0,Land and Housing,2022-23,Fourth Round,2022,A6,215,22D
Dr TAN Cheng Yong,The University of Hong Kong,School Leaders’ Challenges and Responses during the COVID-19 Pandemic: Deriving Recommendations Based on Evidence from A Systematic Review,9,308415.0,Education and Youth Development,2022-23,Fourth Round,2022,A8,130,22D
"Ir Dr HO Chung Tai, Raymond",Dashun Foundation,Hong Kong 2030+ Eastern Knowledge and Technology Corridor: How to Create High Workability Conditions to Foster the Employment of Industrial Innovation Talents?,10,825700.0,Livelihood Issues,2022-23,Fourth Round,2022,C1,008,22D
"Dr ZHU Yue Feng, Alex",The Education University of Hong Kong,Promoting Retirement Financial Planning Activities and Retirement Savings Outcomes of Working Adults in Hong Kong: A Three-Component Intervention,24,691150.0,Livelihood Issues,2023-24,First Round,2023,A3,038,A5.23A
Dr LO Chung Kwan,The Education University of Hong Kong,Teachers' Uses and Concerns about Online Open Educational Resources: A Territory-wide Study,12,388171.2,Education and Youth Development,2023-24,First Round,2023,A5,115,23A
Dr WANG Dan,The Hong Kong Polytechnic University,Developing a Hotel Environmental Sustainability Management Index (HESMI) for Hotels in Hong Kong,12,569250.0,Innovation and Technology,2023-24,First Round,2023,A6,220,23A
Dr LI Xiaomin,The Hong Kong Polytechnic University,Now More Important than Ever: Promoting Healthy Financial Behaviors for Hong Kong Youths from Lower-SES Households,12,490291.0,"Livelihood Issues, Education and Youth Development",2023-24,First Round,2023,A6,221,23A
Prof WANG Yuhong,The Hong Kong Polytechnic University,How to Effectively Implement Nature-Based Solutions (NBS) in Urban Development and Urban Renewal - A Comparison Study of Policies between Hong Kong and Leading European Cities,23,775100.0,Environmental Protection,2023-24,First Round,2023,A6,222,23A
Prof HUNG Kam,The Hong Kong Polytechnic University,Developing a Tourism Cluster in the Greater Bay Area: A Dual Branding Perspective,18,737380.0,"Co-operation with the Mainland, Economic Development",2023-24,First Round,2023,A6,223,23A
Dr LI Sen,The Hong Kong University of Science and Technology,Mapping Residents' Perception of Safety through Street View Images and Interpretable AI: A Hong Kong Case Study,18,677350.0,Innovation and Technology,2023-24,First Round,2023,A7,025,23A
"Prof LEE Lap Fung, Francis",The Chinese University of Hong Kong,"Fact-Checking as a Means to Combat Misinformation: Evaluating Performance, Effectiveness, and Policy Implications",18,804367.5,Political Development and Governance,2023-24,Second Round,2023,A4,102,23B
Dr TSANG Yung Po,The Hong Kong Polytechnic University,Policy Recommendations on Sustainable Logistics Development in Hong Kong under the Global ESG Trend and Initiatives,12,580750.0,Innovation and Technology,2023-24,Second Round,2023,A6,225,23B
"Prof CHAO Yu Hang, Christopher",The Hong Kong Polytechnic University,Assessing the Adaptation of New Energy Vehicles in Hong Kong: The Future of Hydrogen Fuel Cell Vehicles and Electric Vehicles,18,995900.0,Environmental Protection,2023-24,Second Round,2023,A6,226,23B
Dr ZHUGE Chengxiang,The Hong Kong Polytechnic University,Electrifying the Bus System in Hong Kong: Feasibility Analysis and System Optimization,12,383640.0,"Livelihood Issues, Environmental Protection",2023-24,Second Round,2023,A6,232,23B
"Dr YUNG Hiu Kwan, Esther",The Hong Kong Polytechnic University,Relationship between Travel Behavior and Built Environment Factors: Impacts on Mobility and Quality of Life of People with Physical Disabilities,12,658030.0,Livelihood Issues,2023-24,Second Round,2023,A6,233,23B
Dr LYU Xiaopu,Hong Kong Baptist University,What Are the Implications of COVID-19 Restrictions for Ozone Pollution Control in Hong Kong?,18,648255.0,Environmental Protection,2023-24,Third Round,2023,A2,059,23C
Dr ZHAO Zhenzhou,The Education University of Hong Kong,National Security Education in Hong Kong's Universities in the 'New Era',12,589439.0,Education and Youth Development,2023-24,Third Round,2023,A5,126,23C
Dr HWANG Yoo Hee,The Hong Kong Polytechnic University,Multi-method Investigations to Increase Public Acceptance of Upcycled Food,12,507000.5,Environmental Protection,2023-24,Third Round,2023,A6,238,23C
Dr HEUNG Ho Lam,The Hong Kong Polytechnic University,Overweight Prevention in Heavy Lifting Works for Construction Workers with the Smart Lightweight Active Soft Exosuit,12,553725.0,Livelihood Issues,2023-24,Third Round,2023,A6,242,23C
Dr YU Yantao,The Hong Kong University of Science and Technology,Investigating the Effects of Physical Risk Factors on Musculoskeletal Disorders among Older Construction Workers in Hong Kong: A Field Data-driven Approach,18,815407.5,Livelihood Issues,2023-24,Third Round,2023,A7,030,23C
Dr FENG Shihui,The University of Hong Kong,Towards Adaptive and Resilient Educational Systems: A Network-based Approach to Study STEAM Education Innovation in HK,12,574540.0,"Innovation and Technology, Education and Youth Development",2023-24,Third Round,2023,A8,139,23C
"Mr TONG Ka Wah, Ronny",Path of Democracy,"Knowledge, Attitudes and Behaviours of the International Business Community towards Doing Business in Hong Kong",12,700000.0,Economic Development,2023-24,Third Round,2023,C19,001,23C
"Prof WONG Chi Sang, Martin",The Chinese University of Hong Kong,Enhancing Patient Experience and Healthcare Journey in the Public Sector in Hong Kong: A Mixed Qualitative and Quantitative Study of the “HA Go” Application,12,996185.0,Livelihood Issues,2024-25,First Round,2024,A4,104,24A
"Prof WONG Chi Sang, Martin",The Chinese University of Hong Kong,Screening Programme for Osteoporosis in Hong Kong: A Mixed Qualitative and Quantitative Study with Cost-effectiveness Analysis,16,800000.0,Livelihood Issues,2024-25,First Round,2024,A4,105,24A
Dr Ewan WRIGHT,The Education University of Hong Kong,A Higher Education Hub for Doctoral Education: The Case of the Hong Kong PhD Fellowship Scheme,12,392150.0,Education and Youth Development,2024-25,First Round,2024,A5,127,24A
"Dr WONG Yee Hang, Mathew",The Hong Kong Polytechnic University,Understanding Hong Kong People’s Acceptance of Income Inequality and Preferences of Policy Responses,12,488750.0,Livelihood Issues,2024-25,First Round,2024,A6,245,24A
Dr KE Jintao,The University of Hong Kong,A Planning Scheme of Commercial Electric Vehicle Chargers for Promoting Green Transport in Hong Kong,12,875610.0,Livelihood Issues,2024-25,First Round,2024,A8,145,24A
"Dr CHO Yin Nei, Esther",Saint Francis University,Immobility Decisions and Wellbeing: The Younger Stayers in Hong Kong,12,734597.0,Livelihood Issues,2024-25,First Round,2024,B9,006,24A
Dr CHENG Song,The Hong Kong Polytechnic University,Implementing Carbon-free Air Travel in Hong Kong: What Fidelity and Resiliency are Needed in Sustainable Aviation Fuels?,18,882050.0,Environmental Protection,2024-25,Second Round,2024,A6,252,24B
Prof ZHU Pengyu,The Hong Kong University of Science and Technology,Bus Electrification in Hong Kong: Energy Consumption Prediction and Charging Facility Planning,12,886260.15,"Livelihood Issues, Environmental Protection",2024-25,Second Round,2024,A7,032,24B
Dr JIAN Sisi,The Hong Kong University of Science and Technology,Designing Cross-Border Public Transit Bundle Services and Analysing Their Impact on the Greater Bay Area Regional Economy: A Simulation-based Optimization Framework,24,987373.0,"Co-operation with the Mainland, Livelihood Issues",2024-25,Second Round,2024,A7,034,24B
"Dr CHOY Hung Tat, Lennon",The University of Hong Kong,Research on the Grading of World War II Allied & Japanese Pillboxes in the New Territories as an Educational and Tourism Asset for Hong Kong,12,404626.35,"Economic Development, Environmental Protection",2024-25,Second Round,2024,A8,146,24B
Dr GAO Fang,The Education University of Hong Kong,Choosing Hong Kong as an Undergraduate Study Destination: Motivations and Decision-making Processes of International Students,12,600962.4,Education and Youth Development,2024-25,Third Round,2024,A5,140,24C
"Dr NGAN Miu Yung, Olivia",The University of Hong Kong,"Medical Misconduct Reduction and Prevention: A Focus Mapping Analysis on Patient Safety, Risk Factors, and Temporal Trends",12,478653.0,Livelihood Issues,2024-25,Third Round,2024,A8,147,24C
Prof ZHANG Xiaohu,The University of Hong Kong,Strategic Pathways to Urban Innovation: A Smart Specialisation Development Framework for Hong Kong,18,689425.0,"Economic Development, Innovation and Technology",2024-25,Third Round,2024,A8,149,24C
Professor GU Minkang,The Education University of Hong Kong,Data Sharing and Protection: A Comparative Study of Hong Kong and Different Countries or Regions,12,999603.0,Innovation and Technology,2024-25,Fourth Round,2024,A5,149,24D
Dr SHEN Jianfu,The Hong Kong Polytechnic University,Climate Policy Risk and Green Infrastructure Financing in the Belt and Road Initiative: Policy Implications for Infrastructure Loan Securitisation,12,503470.0,Co-operation with the Mainland,2024-25,Fourth Round,2024,A6,261,24D
Dr SHEN Jianfu,The Hong Kong Polytechnic University,Developing a MiC Data Platform for Reusable Modules in the Transitional Housing Projects: Towards a Circular Economy,12,852150.0,Land and Housing,2024-25,Fourth Round,2024,A6,267,24D
"Professor ZHONG Runyang, Ray",The University of Hong Kong,Carbon-neutral Practices in Recycled Concrete-based Materials Through Sequestration of Anthropogenic CO₂,12,493706.5,"Economic Development, Innovation and Technology",2024-25,Fourth Round,2024,A8,154,24D
Professor SHI Shuai,The University of Hong Kong,Leverage Network Capital for Hong Kong’s Carbon Neutrality Goal: The Role Model of Hong Kong Government-related Companies,12,489210.0,Achieving Carbon Neutrality by 2050,2024-25,Fourth Round,2024,A8,155,24D
"Dr CHAN Chi Ming, Victor",The Hang Seng University of Hong Kong,A Multifaceted Analysis of Strengthening Stage-specific Support System for Youth Micro-entrepreneurship in Hong Kong,12,565191.0,Education and Youth Development,2024-25,Fourth Round,2024,B12,009,24D
Professor WONG Yuk Shan,Silk Road Institute,Constructing a Modern Vocational Education System with Hong Kong Characteristics to Nurture Internationalized Technical Professionals,10,880580.76,Education and Youth Development,2024-25,Fourth Round,2024,C31,001,24D
"Dr KWONG Wai Man, Raymond",Hong Kong Metropolitan University,Assessing the Integration of Retirees into the Professional Gig Economy: Addressing Talent Shortages and Enhancing Well-being in Hong Kong,12,619804.0,Livelihood Issues,2025-26,First Round,2024,B16,013,25A
Professor LI Chen,The Chinese University of Hong Kong,"Opportunities and Challenges for the Implementation of “One University, Two Campuses” and Mutual Recognition of Academic Qualifications in the Greater Bay Area: A Comparative Case Study of CUHK (Shenzhen), HKUST (Guangzhou) and Beijing Normal-Hong Kong Baptist University (BNBU)",12,593630.0,"
		",2025-26,Theme-based,E2025,A4,117,
Professor YU Lu,The Hong Kong Polytechnic University,"Enhancing Adaptation, Integration, and Career Development of Non-local University Students in Hong Kong",12,905993.0,"
		",2025-26,Theme-based,E2025,A6,286,
"Professor CHEN Xiaohua, Sylvia",The Hong Kong Polytechnic University,Enhancing Cultural Integration for Non-local Students in Hong Kong: A Multicultural Acquisition Approach to Policy Development,12,694257.55,"
		",2025-26,Theme-based,E2025,A6,287,
Professor ZHU Pengyu,The Hong Kong University of Science and Technology,"Enhancing the Implementation of “One University, Two Campuses"" and Mutual Recognition of Academic Qualifications: A Mixed-methods Study",12,864915.0,"
		",2025-26,Theme-based,E2025,A7,039,
